,0,1,2
00000455_E.wav,N,N,N
00210453_D#.wav,W,W,W
00210018_E.wav,N,W,W
00110051_F.wav,N,W,W
00110480_F.wav,N,N,N
00010384_F.wav,N,W,N
00000243_F.wav,N,W,N
00000187_D#.wav,N,N,N
00200106_D.wav,N,W,W
00000341_A.wav,N,W,N
00210462_F#.wav,N,W,W
00100332_F.wav,N,W,W
00000239_G#.wav,N,N,W
00000362_F#.wav,W,W,N
00110050_D#.wav,W,W,W
00110109_F.wav,N,N,W
00210123_F.wav,N,N,N
00100295_D.wav,N,W,N
00000387_G.wav,W,N,N
00210166_F.wav,N,W,N
00010317_D#.wav,W,W,W
00010446_D#.wav,W,W,N
00110197_E.wav,W,W,W
00010411_F.wav,N,N,N
00200246_D#.wav,N,W,W
00100076_F.wav,N,N,N
00110030_G.wav,N,N,N
00100194_D.wav,N,W,W
00000412_G.wav,N,N,N
00210267_F.wav,N,N,W
00000434_F.wav,N,N,N
00210079_F.wav,W,W,W
00010167_F.wav,N,W,N
00000471_F.wav,N,N,N
00110016_F.wav,N,W,W
00010104_E.wav,W,W,W
00100317_D#.wav,W,W,W
00100446_D#.wav,W,W,W
00200207_F.wav,W,W,N
00010223_F.wav,N,N,N
00110374_E.wav,W,W,W
00000050_D#.wav,W,W,W
00010266_F.wav,N,N,N
00210001_D#.wav,N,W,W
00200299_E.wav,N,N,W
00200470_D.wav,N,W,W
00100169_F.wav,W,W,W
00110239_G#.wav,N,N,N
00210084_F.wav,W,W,W
00110362_F#.wav,N,W,W
00110187_D#.wav,N,N,W
00100458_D#.wav,W,W,W
00110269_E.wav,N,N,N
00110353_D#.wav,W,W,W
00010143_G.wav,N,N,N
00210199_F.wav,N,W,W
00010456_F.wav,W,W,W
00000140_F.wav,N,N,N
00010087_F.wav,W,N,N
00000284_D#.wav,N,W,W
00000105_F.wav,N,W,N
00100052_E.wav,N,N,N
00100209_G.wav,N,W,W
00200131_G#.wav,N,N,N
00200085_E.wav,N,N,W
00200454_E.wav,N,N,W
00010019_E.wav,N,N,N
00110376_G.wav,N,N,W
00100191_F#.wav,N,N,N
00210319_G.wav,N,N,N
00210121_F.wav,N,N,N
00200437_F.wav,W,W,W
00000241_F.wav,N,W,N
00010114_D#.wav,N,N,N
00000204_F.wav,N,W,N
00100330_F.wav,N,N,W
00100465_F.wav,N,W,W
00110173_F.wav,N,W,W
00100420_F.wav,W,W,N
00010061_E.wav,N,N,N
00000180_F.wav,N,N,N
00010165_D#.wav,N,N,N
00200327_F.wav,W,W,W
00200301_E.wav,N,N,N
00010346_F.wav,N,W,N
00210258_F.wav,N,W,N
00200149_D#.wav,N,W,W
00210025_G.wav,N,N,W
00110195_D#.wav,W,W,W
00000138_F.wav,W,W,N
00200063_F.wav,N,W,N
00100429_D#.wav,N,W,W
00100378_D#.wav,W,W,W
00210345_F.wav,N,W,N
00200282_F.wav,N,N,N
00210300_F.wav,N,W,W
00110349_E.wav,N,W,W
00010238_E.wav,N,W,W
00100404_G.wav,N,W,W
00200078_F#.wav,N,N,N
00000296_D#.wav,W,W,N
00000060_F.wav,W,W,W
00000021_D#.wav,W,W,N
00210468_F.wav,W,W,W
00210070_D#.wav,W,W,W
00100137_E.wav,W,W,W
00200183_F.wav,W,W,N
00210044_F.wav,N,N,N
00200081_A.wav,N,W,W
00010006_D#.wav,W,W,W
00100255_F.wav,W,W,W
00110392_F.wav,N,W,W
00000324_F.wav,N,N,N
00100236_E.wav,N,N,W
00000361_F.wav,N,N,N
00210180_F.wav,N,N,N
00200061_E.wav,N,N,N
00100184_D#.wav,W,W,W
00100391_F.wav,N,N,N
00010301_E.wav,N,N,N
00200002_D#.wav,W,W,W
00110256_F.wav,N,N,N
00110213_F.wav,W,W,W
00010153_D#.wav,N,N,N
00010327_F.wav,W,W,W
00110270_E.wav,W,W,W
00000025_G.wav,N,N,N
00000258_F.wav,N,W,N
00200346_F.wav,N,W,W
00110214_D#.wav,N,N,N
00110442_G.wav,N,N,N
00100154_G.wav,N,N,W
00110157_F.wav,N,W,N
00010063_F.wav,W,W,N
00210138_F.wav,W,W,W
00000074_D#.wav,W,W,N
00100271_F.wav,N,W,W
00200238_E.wav,N,N,W
00100257_E.wav,W,W,W
00000300_F.wav,N,N,N
00010282_F.wav,N,N,N
00000345_F.wav,N,N,N
00000468_F.wav,W,W,W
00210060_F.wav,W,W,W
00010081_A.wav,N,W,N
00100135_F.wav,W,W,W
00110423_F.wav,N,N,N
00100170_F.wav,W,W,W
00210069_F#.wav,N,N,W
00010130_D#.wav,W,N,N
00000044_F.wav,N,N,N
00010183_F.wav,W,W,N
00110405_E.wav,W,N,N
00210361_F.wav,W,W,W
00210324_F.wav,N,N,N
00200104_E.wav,N,W,W
00100196_D#.wav,N,W,W
00210471_F.wav,N,N,W
00200167_F.wav,N,W,W
00000079_F.wav,W,W,W
00210434_F.wav,N,W,W
00010207_F.wav,W,W,N
00010113_F#.wav,N,N,N
00110333_F.wav,N,N,N
00010013_F#.wav,N,N,N
00100031_G.wav,N,N,W
00110206_D#.wav,W,W,W
00010470_D.wav,N,W,W
00010299_E.wav,N,N,N
00200266_F.wav,N,N,N
00200125_A#.wav,W,W,W
00200223_F.wav,N,W,W
00200064_G#.wav,W,N,N
00000283_F#.wav,N,N,N
00110014_E.wav,N,W,W
00000084_F.wav,W,W,W
00110032_F.wav,N,W,W
00110077_F.wav,N,N,W
00200143_G.wav,N,N,N
00000057_F#.wav,N,N,N
00210054_D#.wav,N,N,W
00110459_D.wav,N,N,N
00100351_F.wav,N,N,N
00100377_A#.wav,N,W,W
00100314_F.wav,N,W,W
00210105_F.wav,N,W,N
00110365_D#.wav,W,W,W
00200087_F.wav,W,N,N
00210140_F.wav,N,W,W
00200456_F.wav,W,W,W
00000199_F.wav,N,W,W
00210029_D#.wav,N,W,N
00010437_F.wav,W,W,N
00000121_F.wav,N,N,N
00000319_G.wav,W,W,N
00010022_D#.wav,N,W,W
00200019_E.wav,N,N,N
00010454_E.wav,N,N,N
00000178_D#.wav,W,W,N
00010085_E.wav,N,N,N
00100015_F.wav,N,W,W
00100342_D#.wav,W,W,W
00210204_F.wav,N,W,N
00110318_D#.wav,W,W,W
00210241_F.wav,N,W,W
00200028_D#.wav,N,N,N
00110427_F.wav,W,W,W
00000023_E.wav,W,W,W
00210172_D#.wav,N,N,N
00000005_F.wav,N,N,N
00210297_F#.wav,N,N,W
00000294_D#.wav,N,W,N
00210448_F.wav,N,W,N
00100117_E.wav,N,W,W
00110401_E.wav,W,W,W
00110343_D#.wav,N,N,N
00210320_F.wav,W,W,W
00110211_F#.wav,N,W,W
00100288_F.wav,W,W,W
00100230_F.wav,N,N,N
00010004_D#.wav,N,N,N
00200055_D#.wav,W,W,W
00200155_D#.wav,W,W,W
00000304_F.wav,W,W,N
00000285_G.wav,N,N,N
00100189_F.wav,N,N,N
00100181_F#.wav,N,W,W
00110089_D#.wav,W,W,W
00000219_F.wav,N,N,W
00200307_F.wav,N,W,W
00000042_D.wav,W,W,N
00200119_D.wav,N,W,N
00100368_F.wav,N,N,N
00110097_G.wav,N,N,N
00100094_F.wav,N,W,W
00200449_E.wav,N,N,N
00010279_D.wav,N,W,W
00200036_D#.wav,N,W,N
00100426_E.wav,N,N,N
00010067_F.wav,N,N,N
00000118_F.wav,W,W,N
00200043_F.wav,N,W,N
00000008_A#.wav,N,W,N
00200065_E.wav,W,W,N
00210457_A.wav,N,W,W
00100328_F#.wav,N,W,W
00000306_D.wav,W,W,W
00200020_E.wav,N,N,W
00200218_D.wav,N,W,W
00110220_D#.wav,N,W,W
00110217_F.wav,N,W,W
00110009_D.wav,N,N,N
00210278_F.wav,N,W,W
00000160_F.wav,N,N,N
00100037_E.wav,N,N,N
00110193_F.wav,W,W,W
00100011_F.wav,W,W,W
00000386_D#.wav,W,W,N
00210245_F.wav,W,W,W
00010144_F#.wav,W,W,W
00010116_D#.wav,N,W,W
00110292_F.wav,N,W,W
00010380_E.wav,N,N,N
00210162_E.wav,N,N,N
00200431_E.wav,W,W,N
00200201_E.wav,W,W,W
00100315_D#.wav,N,W,W
00210383_E.wav,N,N,N
00010452_G.wav,N,N,N
00200262_F.wav,N,W,W
00000339_F.wav,N,N,N
00100247_F#.wav,N,N,N
00010417_G.wav,W,W,N
00000298_D#.wav,N,N,N
00200124_D#.wav,W,W,W
00000414_F.wav,W,W,W
00000080_F.wav,W,W,N
00110010_E.wav,W,W,N
00000451_F.wav,N,N,W
00010147_F.wav,N,W,N
00010075_D#.wav,W,W,N
00010027_F#.wav,N,W,N
00200408_A.wav,N,N,W
00000432_E.wav,W,W,N
00210416_E.wav,N,N,N
00100371_G.wav,N,N,W
00200145_E.wav,N,N,N
00100439_D#.wav,N,N,W
00110479_E.wav,N,N,N
00110185_D#.wav,N,N,N
00200126_F.wav,N,N,N
00210430_F.wav,N,W,W
00110290_D.wav,N,W,W
00000038_F.wav,W,W,W
00010203_F.wav,W,W,N
00010108_D#.wav,N,N,N
00210003_D#.wav,N,W,W
00210358_F.wav,N,N,N
00010225_E.wav,N,N,N
00210151_F#.wav,N,W,W
00110235_F#.wav,N,N,W
00110082_F#.wav,N,W,N
00210160_F.wav,N,W,N
00000245_F.wav,W,W,N
00100334_F.wav,N,N,W
00210156_D#.wav,N,W,W
00200380_E.wav,N,W,W
00010120_D#.wav,N,W,W
00100056_E.wav,W,W,W
00200071_D#.wav,W,W,W
00010431_E.wav,W,N,N
00000162_E.wav,N,N,N
00200417_G.wav,W,W,N
00210339_F.wav,N,N,N
00200452_G.wav,N,W,W
00010262_F.wav,N,N,N
00010111_F#.wav,N,W,W
00200112_D#.wav,W,W,W
00000383_E.wav,N,N,N
00010201_E.wav,W,W,W
00010408_A.wav,N,N,N
00210432_E.wav,W,W,N
00100472_D#.wav,N,N,W
00100355_G.wav,N,N,N
00100128_F.wav,N,W,W
00200147_F.wav,N,W,W
00210451_F.wav,N,W,W
00210080_F.wav,W,W,N
00210414_F.wav,W,W,W
00110379_D#.wav,W,W,W
00210038_F.wav,W,W,W
00210035_D#.wav,W,W,W
00010389_D#.wav,W,W,N
00000430_F.wav,N,W,W
00010126_F.wav,W,W,N
00000281_F#.wav,N,N,N
00000164_D#.wav,N,N,N
00110012_F.wav,N,W,N
00010145_E.wav,N,N,N
00010289_D#.wav,N,W,N
00000381_F#.wav,W,W,W
00000416_E.wav,N,N,N
00200225_E.wav,N,N,N
00000358_F.wav,N,N,N
00200203_F.wav,W,W,N
00110231_D.wav,N,W,W
00000448_F.wav,W,W,N
00210005_F.wav,N,N,N
00210023_E.wav,W,W,W
00100277_E.wav,N,N,W
00000320_F.wav,W,W,W
00200017_G#.wav,N,N,N
00100316_A.wav,N,N,W
00100252_D#.wav,N,W,W
00110308_E.wav,W,W,W
00210304_F.wav,N,W,N
00100352_D#.wav,N,W,W
00100403_D#.wav,N,N,N
00110208_D#.wav,N,W,W
00100400_G.wav,N,N,N
00000168_D#.wav,N,N,N
00100115_F.wav,N,W,W
00100150_F.wav,W,W,W
00210039_D#.wav,N,W,N
00210285_G.wav,W,W,W
00010119_D.wav,N,W,N
00110276_F.wav,W,W,N
00210042_D.wav,W,W,N
00110233_F.wav,N,N,N
00110215_E.wav,N,N,N
00010307_F.wav,N,W,N
00210219_F.wav,N,N,W
00200067_F.wav,N,N,N
00010449_E.wav,N,N,N
00200279_D.wav,N,W,W
00100331_D#.wav,N,W,W
00010218_D.wav,W,W,W
00210306_D.wav,W,W,W
00010020_E.wav,N,N,N
00210175_F#.wav,N,N,N
00000176_D#.wav,N,N,N
00110132_F.wav,N,W,W
00000457_A.wav,N,W,W
00210127_D#.wav,N,W,W
00010065_E.wav,W,W,N
00010043_F.wav,N,N,N
00100447_E.wav,N,W,W
00210118_F.wav,W,W,W
00110344_F#.wav,W,W,W
00000278_F.wav,W,W,N
00110216_D#.wav,N,W,W
00000040_E.wav,N,N,N
00210099_E.wav,N,N,N
00110095_F.wav,N,W,W
00000344_F#.wav,N,N,N
00210347_D#.wav,N,N,N
00100152_F.wav,N,W,N
00110444_F.wav,N,W,W
00200305_G.wav,N,W,N
00100174_E.wav,N,N,W
00000216_D#.wav,N,W,W
00000066_F.wav,N,W,N
00010399_G.wav,N,N,N
00110176_D#.wav,N,W,W
00110369_F.wav,N,W,N
00010286_E.wav,N,N,N
00210398_E.wav,N,N,N
00100253_F.wav,N,W,N
00110394_F.wav,N,N,N
00010331_D#.wav,W,W,W
00000322_F.wav,W,W,W
00210186_G.wav,N,N,W
00000367_F.wav,W,W,N
00210007_F.wav,N,W,N
00110068_F.wav,N,W,N
00200321_F.wav,W,W,N
00110168_D#.wav,N,W,W
00200364_F.wav,N,W,W
00100463_F.wav,W,W,W
00010252_D#.wav,W,W,W
00210179_E.wav,N,W,N
00000208_D#.wav,N,N,N
00200098_F.wav,N,W,N
00010041_F.wav,N,N,N
00100445_E.wav,N,N,N
00200303_D#.wav,W,W,W
00010352_D#.wav,N,W,N
00010403_D#.wav,N,N,N
00010428_F.wav,N,W,N
00110188_F.wav,N,N,N
00010323_E.wav,W,W,W
00110274_F.wav,W,N,N
00010366_E.wav,W,W,W
00010340_F.wav,N,W,N
00210224_D#.wav,W,W,N
00000287_F.wav,W,W,N
00100395_E.wav,W,W,W
00210093_D#.wav,N,N,W
00010450_F.wav,N,N,N
00000146_F.wav,W,W,N
00200058_F.wav,W,W,N
00010415_F.wav,N,W,N
00000103_F.wav,N,N,N
00100072_F.wav,N,W,N
00110281_F#.wav,N,N,W
00200382_E.wav,N,W,W
00110249_F.wav,N,N,W
00100389_D#.wav,W,W,W
00210226_F.wav,N,W,W
00110381_F#.wav,W,W,W
00010338_F.wav,W,W,W
00210263_F.wav,W,W,N
00110164_D#.wav,N,N,W
00100289_D#.wav,N,W,W
00210228_D#.wav,N,W,N
00010472_D#.wav,N,N,N
00000379_D#.wav,W,W,N
00200272_D#.wav,N,W,W
00000261_E.wav,N,N,N
00200083_E.wav,N,W,N
00100111_F#.wav,N,W,W
00210101_E.wav,N,N,N
00010227_D.wav,N,W,N
00110148_F.wav,N,W,W
00110313_D.wav,W,W,W
00200474_F.wav,W,W,N
00100120_D#.wav,N,W,W
00200440_D#.wav,N,W,W
00110073_E.wav,N,N,N
00010359_G.wav,W,N,N
00010161_F.wav,N,N,N
00210059_E.wav,W,W,W
00100192_F.wav,W,W,W
00010102_E.wav,W,W,W
00210475_E.wav,W,W,N
00000159_A.wav,W,W,N
00200100_F.wav,W,W,W
00110372_E.wav,N,W,W
00000082_F#.wav,N,N,N
00010260_F.wav,W,W,W
00110337_E.wav,N,W,W
00000235_F#.wav,N,W,N
00110311_F.wav,N,W,W
00210435_F#.wav,N,W,W
00110129_F.wav,N,N,W
00100293_G.wav,N,W,N
00100108_D#.wav,N,N,N
00210103_F.wav,N,N,N
00200415_F.wav,N,W,W
00010058_F.wav,W,W,N
00210146_F.wav,W,W,N
00200450_F.wav,N,W,W
00100419_E.wav,N,W,W
00010439_D#.wav,N,N,W
00000263_F.wav,W,W,N
00200338_F.wav,W,W,W
00000226_F.wav,N,W,N
00000185_D#.wav,N,N,N
00100357_F.wav,N,N,N
00200461_G#.wav,N,N,N
00010382_E.wav,N,W,W
00100312_F.wav,N,W,W
00210261_E.wav,N,N,N
00110298_D#.wav,N,N,N
00100075_D#.wav,N,W,W
00100027_F#.wav,N,W,W
00010315_D#.wav,W,W,W
00010474_F.wav,W,W,N
00200244_D#.wav,N,W,W
00010247_F#.wav,N,N,N
00000101_E.wav,N,N,N
00200227_D.wav,N,W,N
00010083_E.wav,W,W,N
00100291_E.wav,N,W,W
00110356_E.wav,N,N,N
00200190_D#.wav,W,W,W
00200476_D#.wav,W,W,W
00110335_F.wav,N,N,N
00200102_E.wav,W,W,W
00100144_F#.wav,W,W,W
00100116_D#.wav,N,W,W
00100336_G.wav,N,N,N
00000059_E.wav,N,N,N
00200161_F.wav,N,N,N
00200359_G.wav,W,N,N
00210200_D#.wav,N,W,W
00010100_F.wav,W,W,N
00110034_F.wav,W,W,W
00000475_E.wav,W,N,N
00210159_A.wav,N,W,W
00200260_F.wav,W,W,W
00110386_D#.wav,N,W,W
00200399_G.wav,N,N,N
00210066_F.wav,N,W,N
00010305_G.wav,N,N,N
00000099_E.wav,N,N,N
00210040_E.wav,N,N,N
00110008_A#.wav,N,W,W
00100232_F.wav,W,W,N
00200473_G#.wav,N,W,W
00100251_E.wav,N,W,W
00110396_E.wav,N,N,N
00000220_D#.wav,W,W,W
00010328_F#.wav,N,W,W
00210367_F.wav,W,W,N
00000186_G.wav,N,N,N
00210322_F.wav,N,W,W
00000398_E.wav,N,N,N
00200286_E.wav,N,W,W
00100133_F.wav,N,N,N
00110425_F.wav,N,W,W
00110460_F.wav,N,N,N
00000007_F.wav,W,W,N
00200407_D#.wav,N,W,W
00100397_F.wav,N,N,W
00110250_F.wav,W,W,W
00010364_F.wav,W,W,W
00000089_D#.wav,N,N,N
00010321_F.wav,W,W,N
00010181_F#.wav,N,W,N
00200182_D#.wav,N,W,W
00100275_D.wav,N,W,W
00200041_F.wav,N,W,W
00010098_F.wav,N,W,N
00100004_D#.wav,N,N,N
00000179_E.wav,W,W,N
00200248_D#.wav,N,W,W
00100096_F.wav,W,W,W
00200410_G#.wav,W,N,W
00100402_F.wav,N,W,W
00000343_D#.wav,N,N,N
00100424_E.wav,N,W,W
00110177_E.wav,W,W,W
00000211_F#.wav,W,W,W
00210212_D#.wav,W,W,N
00200428_F.wav,N,W,W
00210287_F.wav,W,W,N
00100309_E.wav,W,W,W
00200340_F.wav,N,W,W
00200366_E.wav,W,W,W
00110294_D#.wav,N,W,W
00200323_E.wav,W,W,W
00110348_E.wav,N,W,W
00010062_G.wav,W,W,N
00100407_D#.wav,N,W,N
00110443_F.wav,N,W,W
00000047_E.wav,N,N,N
00100110_F.wav,N,W,W
00000163_A.wav,N,W,N
00010036_D#.wav,N,N,N
00100136_E.wav,N,N,N
00000024_F.wav,W,W,N
00100473_G#.wav,N,W,W
00110049_E.wav,N,W,W
00210008_A#.wav,N,N,N
00210045_F.wav,N,W,W
00210026_E.wav,W,W,W
00110393_F.wav,N,W,N
00000360_F.wav,N,W,N
00000325_F.wav,N,N,N
00010028_D#.wav,N,N,N
00000172_D#.wav,N,N,N
00100464_F.wav,N,W,W
00000297_F#.wav,N,N,N
00210294_D#.wav,N,W,W
00210158_F.wav,N,W,W
00010046_F.wav,N,N,N
00200363_F.wav,W,W,W
00100248_D#.wav,N,W,W
00200326_F.wav,N,W,N
00100410_G#.wav,W,N,N
00110212_D#.wav,N,W,N
00100134_G.wav,W,W,W
00200004_D#.wav,N,N,W
00010055_D#.wav,W,W,N
00010155_D#.wav,W,W,N
00010302_F.wav,W,W,W
00000280_F.wav,N,N,N
00210259_F.wav,N,W,W
00000139_F.wav,N,W,W
00100048_F.wav,W,W,N
00010409_E.wav,W,W,W
00100182_D#.wav,N,W,W
00200385_E.wav,N,W,N
00110033_G.wav,N,N,W
00210264_F.wav,N,N,N
00010142_G.wav,N,N,N
00010107_G.wav,N,N,N
00210221_F.wav,N,W,W
00100244_D#.wav,N,W,W
00110268_E.wav,N,W,W
00010124_D#.wav,W,N,N
00200222_G.wav,N,N,N
00210298_D#.wav,N,N,N
00100053_E.wav,N,N,N
00000141_F.wav,N,N,N
00210198_F.wav,W,W,N
00010086_F.wav,N,N,N
00200075_D#.wav,N,W,W
00200027_F#.wav,N,W,N
00000122_E.wav,N,W,N
00010018_E.wav,N,W,W
00100088_F.wav,N,W,N
00010265_D.wav,W,W,W
00200455_E.wav,N,N,N
00200436_F.wav,N,N,N
00100461_G#.wav,N,N,N
00200108_D#.wav,N,W,N
00000205_F.wav,W,W,W
00000003_D#.wav,N,N,N
00000240_F.wav,W,W,N
00000151_F#.wav,N,N,N
00200387_G.wav,W,N,N
00010166_F.wav,W,W,N
00010123_F.wav,N,N,N
00210386_D#.wav,N,W,W
00200341_A.wav,N,W,W
00110200_D#.wav,N,W,N
00000106_D.wav,N,W,N
00110388_E.wav,N,N,N
00210384_F.wav,N,W,W
00200243_F.wav,N,W,W
00010267_F.wav,N,N,N
00200144_F#.wav,W,W,W
00200412_G.wav,N,N,N
00200116_D#.wav,N,W,W
00110375_E.wav,N,W,W
00100476_D#.wav,W,W,W
00100190_D#.wav,W,W,W
00210411_F.wav,N,W,N
00200107_G.wav,N,N,N
00000221_F.wav,N,W,W
00000264_F.wav,N,N,N
00200111_F#.wav,N,W,W
00010112_D#.wav,W,W,W
00200142_G.wav,N,N,W
00010385_E.wav,N,N,N
00100350_F.wav,N,W,W
00210122_E.wav,N,W,N
00100438_F.wav,N,W,N
00110228_D#.wav,N,W,W
00200086_F.wav,N,W,N
00000198_F.wav,N,N,W
00100272_D#.wav,N,W,W
00210141_F.wav,W,W,W
00010222_G.wav,N,N,N
00010436_F.wav,N,N,N
00200389_D#.wav,W,W,N
00000035_D#.wav,W,W,W
00210281_F#.wav,N,W,W
00200265_D.wav,N,W,W
00010455_E.wav,N,N,N
00210164_D#.wav,N,N,N
00200289_D#.wav,N,W,W
00100480_F.wav,N,N,N
00200018_E.wav,N,W,W
00100051_F.wav,N,W,W
00210381_F#.wav,W,W,W
00210240_F.wav,W,W,N
00210205_F.wav,W,W,W
00100109_F.wav,N,N,W
00200123_F.wav,N,N,N
00110295_D.wav,N,W,N
00110435_F#.wav,N,W,W
00200166_F.wav,N,W,N
00010387_G.wav,W,N,N
00010243_F.wav,N,W,N
00000384_F.wav,N,W,N
00210106_D.wav,N,W,W
00010341_A.wav,N,W,N
00000156_D#.wav,N,W,W
00110332_F.wav,N,W,W
00100030_G.wav,N,N,N
00100440_D#.wav,N,W,W
00110194_D.wav,N,W,W
00010412_G.wav,N,N,N
00200267_F.wav,N,N,W
00200120_D#.wav,N,W,W
00100197_E.wav,W,W,W
00000411_F.wav,N,N,N
00110076_F.wav,N,N,N
00010071_D#.wav,W,W,W
00200062_G.wav,W,W,N
00210024_F.wav,N,W,N
00210163_A.wav,N,N,W
00210047_E.wav,N,N,N
00000026_E.wav,W,W,W
00110467_F.wav,N,W,W
00100171_F.wav,W,W,W
00000175_F#.wav,N,N,N
00210176_D#.wav,N,W,W
00000127_D#.wav,W,W,W
00000045_F.wav,N,W,N
00110090_E.wav,N,W,W
00110441_E.wav,N,W,W
00110347_D#.wav,N,N,N
00210325_F.wav,N,N,N
00110329_E.wav,N,N,W
00210360_F.wav,W,W,W
00100421_G.wav,N,W,W
00200046_F.wav,N,N,W
00000158_F.wav,N,N,N
00110093_D#.wav,N,N,N
00110224_D#.wav,W,W,W
00100390_F.wav,N,W,N
00010326_F.wav,N,W,N
00010017_G#.wav,N,N,N
00010363_F.wav,W,W,W
00000259_F.wav,N,N,N
00210280_F.wav,N,N,N
00200302_F.wav,N,W,W
00100303_D#.wav,W,W,W
00110092_G.wav,W,W,N
00210168_D#.wav,N,W,N
00200409_E.wav,W,W,W
00100091_F.wav,W,W,W
00000039_D#.wav,N,N,N
00210139_F.wav,N,W,W
00100466_E.wav,W,W,W
00210327_F.wav,W,W,W
00110039_D#.wav,N,N,N
00210301_E.wav,N,N,N
00100173_F.wav,N,W,W
00110465_F.wav,N,W,W
